Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z,,,
stop1_ori,"""stop on point 1""",0,49:22.3,-89.856275,-7.63071,-0.132605,,,
stop1_ori,"""stop on point 1""",0,49:22.4,-89.890204,-7.624154,-0.201004,,,
stop1_ori,"""stop on point 1""",0,49:22.5,-89.895854,-7.586061,-0.187242,,,
stop1_ori,"""stop on point 1""",0,49:22.6,-89.957139,-7.547346,-0.182393,,,
stop1_ori,"""stop on point 1""",0,49:22.7,-89.905534,-7.593693,-0.201572,,,
stop1_ori,"""stop on point 1""",0,49:22.8,-89.920246,-7.626125,-0.161687,,,
stop1_ori,"""stop on point 1""",0,49:22.9,-89.912046,-7.631234,-0.147017,,,
stop1_ori,"""stop on point 1""",0,49:23.0,-89.913453,-7.580237,-0.139558,,,
stop1_ori,"""stop on point 1""",0,49:23.1,-89.888606,-7.567708,-0.139171,,,
stop1_ori,"""stop on point 1""",0,49:23.2,-89.897044,-7.5745,-0.127246,,,
stop1_ori,"""stop on point 1""",0,49:23.3,-89.906213,-7.604949,-0.112954,,,
stop1_ori,"""stop on point 1""",0,49:23.4,-89.904751,-7.592791,-0.110122,,,
stop1_ori,"""stop on point 1""",0,49:23.5,-89.865939,-7.542553,-0.058106,,,
stop1_ori,"""stop on point 1""",0,49:23.6,-89.907811,-7.505786,-0.086295,,,
stop1_ori,"""stop on point 1""",0,49:23.7,-89.880793,-7.520829,-0.047166,,,
stop1_ori,"""stop on point 1""",0,49:23.8,-89.901837,-7.528197,-0.051376,,,
stop1_ori,"""stop on point 1""",0,49:23.9,-89.966564,-7.501783,-0.032907,,,
stop1_ori,"""stop on point 1""",0,49:24.0,-89.994097,-7.466199,0.000699,,,
stop1_ori,"""stop on point 1""",0,49:24.1,-90.0298,-7.477385,-0.003085,,,
stop1_ori,"""stop on point 1""",0,49:24.2,-90.000003,-7.504125,-0.008012,,,
stop1_ori,"""stop on point 1""",0,49:24.3,-90.02561,-7.536203,-0.003801,,,
stop1_ori,"""stop on point 1""",0,49:24.4,-90.020347,-7.564501,0.012103,,,
stop1_ori,"""stop on point 1""",0,49:24.5,-89.968801,-7.557847,-0.004428,,,
stop1_ori,"""stop on point 1""",0,49:24.6,-89.983058,-7.524058,-0.04295,,,
stop1_ori,"""stop on point 1""",0,49:24.7,-89.970455,-7.504798,-0.004544,,,
stop1_ori,"""stop on point 1""",0,49:24.8,-89.960452,-7.511383,-0.005496,,,
stop1_ori,"""stop on point 1""",0,49:24.9,-89.99447,-7.476422,0.002528,,,
